i;rho;fn0;dfn1;dfn2;dfn3;dfn4;dfn5;fn5
1;1.00E-06;-4.56E-12;0;0;0;0;0;-4.56E-12
1;69.1047;-1.73222125;-0.00124875;-0.00301354;-0.00333865;-0.00252852;-0.000139233;-1.74249
1;138.209;-3.13181253;-0.00332747;-0.00800125;-0.0086518;-0.00630223;-0.00143946;-3.15953
1;207.314;-4.41185144;-0.00722856;-0.0172842;-0.0179563;-0.0104454;-0.0018803;-4.46665
1;276.419;-5.6175141;-0.0127959;-0.0303365;-0.0296481;-0.0133525;-0.00216646;-5.70581
1;345.523;-6.7701952;-0.0199948;-0.0468718;-0.042332;-0.0154247;-0.00237925;-6.89720
1;414.628;-7.8824535;-0.0287965;-0.0665677;-0.0548098;-0.0169945;-0.00254879;-8.05217
1;483.733;-8.9625402;-0.0391698;-0.0890521;-0.0662935;-0.0182368;-0.00269182;-9.17798
1;552.837;-10.0163214;-0.0510786;-0.113909;-0.0764437;-0.0192501;-0.00281694;-10.27982
1;621.942;-11.0480178;-0.0644822;-0.140686;-0.0852439;-0.0200934;-0.00292779;-11.36145
1;691.047;-12.0610652;-0.0793348;-0.168913;-0.0928316;-0.0208046;-0.00302593;-12.42598
1;760.151;-13.058214;-0.095586;-0.198111;-0.0993816;-0.0214102;-0.00311255;-13.47582
1;829.256;-14.04142;-0.11318;-0.227812;-0.105054;-0.02193;-0.00318901;-14.51259
1;898.361;-15.012642;-0.132058;-0.25757;-0.109983;-0.0223803;-0.00325696;-15.53789
1;967.466;-15.973245;-0.152155;-0.28698;-0.114278;-0.0227742;-0.0033181;-16.55275
1;1036.57;-16.924497;-0.173403;-0.315684;-0.118028;-0.0231228;-0.00337409;-17.55811
1;1105.67;-17.867569;-0.195731;-0.343384;-0.121308;-0.0234351;-0.00342641;-18.55485
1;1174.78;-18.803439;-0.219061;-0.369842;-0.12418;-0.0237185;-0.00347626;-19.54372
1;1243.88;-19.732784;-0.243316;-0.394883;-0.126698;-0.0239787;-0.00352459;-20.52518
1;1312.99;-20.656485;-0.268415;-0.418389;-0.128908;-0.0242202;-0.00357204;-21.49999
1;1382.09;-21.575128;-0.294272;-0.440298;-0.130849;-0.0244465;-0.00361903;-22.46861
1;1451.2;-22.489298;-0.320802;-0.460592;-0.132554;-0.0246599;-0.00366576;-23.43157
1;1520.3;-23.399483;-0.347917;-0.47929;-0.134053;-0.0248621;-0.00371226;-24.38932
1;1589.41;-24.306172;-0.375528;-0.496437;-0.135372;-0.0250544;-0.00375847;-25.34232
1;1658.51;-25.209755;-0.403545;-0.512101;-0.136533;-0.0252374;-0.00380426;-26.29098
1;1727.62;-26.110722;-0.431878;-0.526362;-0.137557;-0.0254117;-0.00384949;-27.23578
1;1796.72;-27.009364;-0.460436;-0.539307;-0.138459;-0.0255778;-0.003894;-28.17704
1;1865.83;-27.906069;-0.489131;-0.551026;-0.139257;-0.0257357;-0.00393765;-29.11516
1;1934.93;-28.800925;-0.517875;-0.561612;-0.139962;-0.0258859;-0.00398035;-30.05024
1;2004.04;-29.694521;-0.546579;-0.571151;-0.140587;-0.0260286;-0.00402203;-30.98289
1;2073.14;-30.586839;-0.575161;-0.579731;-0.141142;-0.0261641;-0.00406267;-31.91310
1;2142.25;-31.478163;-0.603537;-0.587431;-0.141637;-0.0262926;-0.00410226;-32.84116
1;2211.35;-32.36887;-0.63163;-0.594327;-0.142078;-0.0264146;-0.00414084;-33.76746
1;2280.45;-33.258938;-0.659362;-0.600493;-0.142474;-0.0265304;-0.00417846;-34.69198
1;2349.56;-34.148736;-0.686664;-0.605993;-0.14283;-0.0266403;-0.00421521;-35.61508
1;2418.66;-35.038334;-0.713466;-0.610889;-0.143152;-0.0267448;-0.00425117;-36.53684
