T;Component;Tc;Pc;rhoc;uc;beta 1K;beta 2;delta;L;phi;
3;47;508.593;7.60623;6649.88;0.0295758;0.515567;0.588772;2.95894;5.00E-10;1;
3;47;508.562;7.68246;6908.13;0.0296039;0.536698;0.552766;2.94659;5.20E-10;1;
3;47;509.463;7.8602;7553.75;0.0297246;0.470096;0.362652;3.11677;5.40E-10;1;
3;47;512.103;8.25578;8602.88;0.0300224;0.481515;0.40024;3.16292;5.60E-10;1;
3;47;515.062;8.67988;8812.71;0.0303492;0.511104;0.468285;3.04182;5.80E-10;1;
3;47;517.655;9.03556;8764.28;0.0306333;0.506885;0.491431;3.02546;6.00E-10;1;
3;47;508.562;7.68246;6908.13;0.0296039;0.536698;0.552766;2.94659;5.20E-10;1;
3;47;508.598;9.00E-09;0;0.00900397;nan;nan;nan;5.22E-10;1;
3;47;508.643;7.70675;7004.97;0.0296181;0.54261;0.517141;2.95977;5.24E-10;1;
3;47;508.7;7.72072;7053.39;0.0296269;0.547682;0.496615;2.96286;5.26E-10;1;
3;47;508.768;7.73589;7037.25;0.0296367;0.552108;0.474711;2.96386;5.28E-10;1;
3;47;508.85;7.75268;7134.1;0.0296479;0.558662;0.452594;2.96198;5.30E-10;1;
3;47;508.94;7.77032;7198.66;0.02966;0.557693;0.429718;2.97839;5.32E-10;1;
3;47;509.047;7.78995;7230.94;0.0296737;0.550127;0.408621;2.98638;5.34E-10;1;
3;47;509.164;7.81072;7392.34;0.0296885;0.52952;0.389215;3.04397;5.36E-10;1;
3;47;509.304;9.02E-09;0;0.0090167;nan;nan;nan;5.38E-10;1;
3;47;509.304;9.02E-09;0;0.0090167;nan;nan;nan;5.38E-10;1;
3;47;509.463;7.8602;7553.75;0.0297246;0.470096;0.362652;3.11677;5.40E-10;1;
3;47;509.64;7.88833;7682.87;0.0297455;0.43549;0.354222;3.20442;5.42E-10;1;
3;47;509.84;7.91941;7876.56;0.0297687;0.410013;0.34942;3.34606;5.44E-10;1;
3;47;510.07;7.95444;7876.56;0.029795;0.399913;0.34874;3.36581;5.46E-10;1;
3;47;510.32;7.99215;8215.51;0.0298234;0.397447;0.350689;3.44274;5.48E-10;1;
3;47;510.593;8.03292;8150.95;0.0298541;0.404949;0.355657;3.41032;5.50E-10;1;
3;47;510.89;8.07717;8393.05;0.0298873;0.426029;0.364277;3.29875;5.52E-10;1;
3;47;511.18;8.12006;8360.77;0.0299198;0.436316;0.37137;3.30885;5.54E-10;1;
3;47;511.49;8.16589;8619.02;0.0299543;0.457948;0.381504;3.21667;5.56E-10;1;
3;47;511.792;8.21022;8586.74;0.0299879;0.467678;0.390299;3.19653;5.58E-10;1;
3;47;512.103;8.25578;8602.88;0.0300224;0.481515;0.40024;3.16292;5.60E-10;1;
3;47;512.41;8.30061;8715.86;0.0300565;0.49029;0.409602;3.10091;5.62E-10;1;
3;47;512.72;8.34569;8651.3;0.0300908;0.500753;0.419164;3.10647;5.64E-10;1;
3;47;513.022;8.38939;8683.58;0.0301242;0.503429;0.427155;3.09409;5.66E-10;1;
3;47;513.32;8.43232;8748.14;0.0301572;0.503982;0.434277;3.08947;5.68E-10;1;
3;47;513.62;8.47538;8732;0.0301903;0.50812;0.441589;3.07617;5.70E-10;1;
3;47;513.91;8.5168;8780.42;0.0302223;0.503963;0.447148;3.07768;5.72E-10;1;
3;47;514.202;8.55835;8715.86;0.0302545;0.50474;0.452815;3.08051;5.74E-10;1;
3;47;514.5;8.60077;8780.42;0.0302873;0.514062;0.460106;3.04547;5.76E-10;1;
3;47;514.77;8.63863;8796.57;0.0303171;0.50127;0.462099;3.06837;5.78E-10;1;
3;47;515.062;8.67988;8812.71;0.0303492;0.511104;0.468285;3.04182;5.80E-10;1;
3;47;515.34;8.71876;8780.42;0.0303797;0.513295;0.472346;3.03969;5.82E-10;1;
3;47;515.605;8.75552;8764.28;0.0304089;0.504908;0.474039;3.05243;5.84E-10;1;
3;47;515.883;8.7943;8877.27;0.0304393;0.511499;0.478882;3.03327;5.86E-10;1;
3;47;516.144;8.83019;8748.14;0.030468;0.507264;0.480476;3.04363;5.88E-10;1;
3;47;516.403;8.86573;8748.14;0.0304964;0.504633;0.482555;3.04524;5.90E-10;1;
3;47;516.662;8.90122;8748.14;0.0305247;0.506365;0.484817;3.0406;5.92E-10;1;
3;47;516.922;8.93679;8812.71;0.0305532;0.510698;0.487909;3.02053;5.94E-10;1;
3;47;517.171;8.97053;8812.71;0.0305804;0.510867;0.489383;3.02021;5.96E-10;1;
3;47;517.416;9.00353;8764.28;0.0306072;0.509576;0.490712;3.02235;5.98E-10;1;
3;49;525.137;4.61435;3400.41;0.0284778;0.504035;0.535621;2.98523;5.00E-10;1;
3;49;524.995;4.61379;3400.41;0.0284711;0.503974;0.538856;2.98514;5.03E-10;1;
3;49;524.858;4.61353;3400.41;0.0284648;0.5051;0.542751;2.98284;5.05E-10;1;
3;49;524.723;4.61336;3408.2;0.0284587;0.504762;0.546609;2.98259;5.08E-10;1;
3;49;524.594;4.61354;3416;0.0284531;0.505954;0.551499;2.98061;5.10E-10;1;
3;49;524.468;4.61388;3416;0.0284477;0.506025;0.556707;2.98048;5.13E-10;1;
3;49;524.348;4.61457;3416;0.0284429;0.507143;0.562891;2.97864;5.15E-10;1;
3;49;524.232;4.61547;3431.6;0.0284384;0.507454;0.569513;2.9961;5.18E-10;1;
3;49;524.122;4.61672;3431.6;0.0284344;0.508283;0.577091;2.9964;5.20E-10;1;
3;49;524.018;4.61831;3447.2;0.0284309;0.509356;0.585527;2.97372;5.23E-10;1;
3;49;523.92;4.62025;3447.2;0.0284279;0.510392;0.594421;2.97226;5.25E-10;1;
3;49;523.829;4.6226;3462.8;0.0284256;0.511882;0.603336;2.97012;5.28E-10;1;
3;49;523.744;4.62529;3470.6;0.0284238;0.512729;0.611458;2.97013;5.30E-10;1;
3;49;523.668;4.62852;3478.4;0.0284228;0.514984;0.618634;2.96677;5.33E-10;1;
3;49;523.599;4.63216;3493.99;0.0284224;0.51671;0.62341;2.96505;5.35E-10;1;
3;49;523.539;4.63634;3509.59;0.0284228;0.519113;0.625265;2.96311;5.38E-10;1;
3;49;523.487;4.641;3517.39;0.0284239;0.521056;0.623003;2.9625;5.40E-10;1;
3;49;523.446;4.64633;3532.99;0.028426;0.524513;0.616579;2.96041;5.43E-10;1;
3;49;523.416;4.65235;3556.39;0.0284291;0.529104;0.605217;2.95752;5.45E-10;1;
