rho;rho_l;P_l;rho_v;P_v;;;;;;;
450;106.5122671;0.352020896;4194.599285;0.353214183;0;;;2.44;24.45;2440;2.445
451;108.7727056;0.359535499;4184.397822;0.360970649;0;;;2.5;24.32;2500;2.432
452;111.0728935;0.367168182;4174.133957;0.368848927;0;;;2.56;24.16;2560;2.416
453;113.4235927;0.374956409;4163.819924;0.37709309;0;;;2.61;23.96;2610;2.396
454;115.8052953;0.382837689;4153.430876;0.385246193;0;;;2.67;23.75;2670;2.375
455;118.2286642;0.390844496;4142.977406;0.393524819;0;;;2.73;23.52;2730;2.352
456;120.6944217;0.398979928;4132.45881;0.401930742;0;;;2.79;23.25;2790;2.325
457;123.2032096;0.40724003;4121.874354;0.410464955;0;;;2.85;22.95;2850;2.295
458;125.7557364;0.415632735;4111.223298;0.419128646;0;;;2.91;22.68;2910;2.268
459;128.3642208;0.424185836;4100.531041;0.428374377;0;;;2.97;22.34;2970;2.234
460;131.0063933;0.432840015;4089.746674;0.437331727;0;;;3.03;22;3030;2.2
461;133.6944944;0.441627403;4078.893461;0.446422749;0;;;3.09;21.61;3090;2.161
462;136.4292356;0.450548083;4067.970594;0.455648566;0;;;3.14;21.18;3140;2.118
463;139.2114273;0.459606558;4056.977264;0.465010601;0;;;3.2;20.78;3200;2.078
464;142.0418248;0.468799853;4045.912632;0.474510282;0;;;3.26;20.33;3260;2.033
465;144.9342025;0.478169817;4034.820463;0.484852921;0;;;3.32;19.84;3320;1.984
466;147.8634896;0.487641421;4023.613525;0.494665794;0;;;3.38;19.34;3380;1.934
467;150.8434671;0.497256737;4012.332766;0.504620324;0;;;3.44;18.82;3440;1.882
468;153.8749857;0.507012206;4000.977282;0.514717826;0;;;3.5;18.27;3500;1.827
469;156.9589338;0.516913926;3989.546151;0.524959682;0;;;3.56;17.69;3560;1.769
470;160.0962041;0.526958694;3978.038428;0.5353473;0;;;3.61;17.08;3610;1.708
471;163.3021314;0.53719092;3966.523265;0.546890714;0;;;3.67;16.51;3670;1.651
472;166.5488268;0.547530296;3954.86324;0.557611875;0;;;3.73;15.9;3730;1.59
473;169.8516847;0.55802079;3943.123785;0.568482984;0;;;3.79;15.21;3790;1.521
474;173.2116775;0.568660628;3931.30387;0.579505374;0;;;3.85;14.61;3850;1.461
475;176.6298401;0.579453406;3919.402449;0.590680489;0;;;3.91;13.89;3910;1.389
476;180.1230541;0.590441262;3907.518698;0.603341161;0;;;3.97;13.25;3970;1.325
477;183.6606333;0.601541434;3895.455906;0.614868152;0;;;4.03;12.56;4030;1.256
478;187.2595639;0.612799224;3883.308458;0.626552087;0;;;4.09;11.87;4090;1.187
479;190.9209702;0.624213246;3871.075208;0.638394384;0;;;4.14;11.19;4140;1.119
480;194.6633801;0.63583223;3858.889107;0.652064126;0;;;4.2;10.51;4200;1.051
481;198.4531435;0.647566133;3846.486844;0.664274611;0;;;4.26;9.82;4260;0.982
482;202.3089306;0.6594615;3833.995365;0.676647804;0;;;4.32;9.16;4320;0.916
483;206.2319851;0.671521388;3821.413412;0.689185133;0;;;4.38;8.49;4380;0.849
484;210.2424694;0.683792614;3808.917281;0.703951003;0;;;4.44;7.84;4440;0.784
485;214.3038171;0.696181929;3796.15822;0.716873628;0;;;4.5;7.21;4500;0.721
486;218.4363801;0.708739804;3783.304975;0.729964815;0;;;4.56;6.6;4560;0.66
487;222.6415509;0.721465964;3770.356167;0.743226031;0;;;4.62;6;4620;0.6
488;226.9411447;0.734412572;3757.543665;0.759185407;0;;;4.67;5.43;4670;0.543
489;231.2957177;0.747481091;3744.409216;0.772849903;0;;;4.73;4.89;4730;0.489
490;235.7273278;0.760722845;3731.175168;0.786688878;0;;;4.79;4.37;4790;0.437
491;240.2375483;0.774139041;3717.840005;0.800703848;0;;;4.85;3.89;4850;0.389
492;244.8497961;0.787783912;3704.706829;0.81796564;0;;;4.91;3.43;4910;0.343
493;249.5219124;0.80155408;3691.177097;0.832402952;0;;;4.97;2.99;4970;0.299
494;254.277638;0.815503393;3677.541865;0.847020906;0;;;5.03;2.6;5030;0.26
495;259.0976766;0.829583866;3663.456346;0.858553998;0;;;5.09;2.23;5090;0.223
496;264.026275;0.843896959;3649.591321;0.873471596;0;;;5.14;1.9;5140;0.19
497;269.0254922;0.858351366;3635.280927;0.885514765;0;;;5.2;1.6;5200;0.16
498;274.1345546;0.873034926;3621.178474;0.900744347;0;;;5.26;1.33;5260;0.133
499;279.3205049;0.887868517;3606.635269;0.913300434;0;;;5.32;1.09;5320;0.109
500;284.6181368;0.902927967;3592.287218;0.92885374;0;;;5.38;0.88;5380;0.088
501;290.0131677;0.918177276;3577.819289;0.944597987;0;;;5.44;0.7;5440;0.07
502;295.4938229;0.933587003;3562.900244;0.957813137;0;;;5.5;0.54;5500;0.054
503;301.0906819;0.949221495;3548.173165;0.973895228;0;;;5.56;0.41;5560;0.041
504;306.7796605;0.965023867;3532.998931;0.987634884;0;;;5.62;0.28;5620;0.028
505;312.5879929;0.981049656;3518.00297;1.004065505;0;;;5.67;0.16;5670;0.016
506;318.5058283;0.997273095;3502.874738;1.020694718;0;;;5.73;0.11;5730;0.011
507;324.5252602;1.013673324;3487.287903;1.035119838;0;;;5.79;0.08;5790;0.008
508;330.6704551;1.030297244;3471.874615;1.052110912;0;;;5.85;0.02;5850;0.002
509;336.924255;1.047104181;3456.005509;1.067068612;0;;;5.91;0.01;5910;0.001
510;343.3084536;1.064134742;3440.295423;1.084431497;0;;;0.01;0.3;10;0.03
511;349.8167787;1.081370775;3424.438246;1.102000714;0;;;0.05;1.39;50;0.139
512;356.4443584;1.098797489;3408.111903;1.117665987;0;;;0.08;2.44;80;0.244
513;363.2110248;1.116449512;3391.938339;1.135619731;0;;;0.11;3.48;110;0.348
514;370.1048312;1.134297421;3375.296645;1.15182367;0;;;0.14;4.49;140;0.449
515;377.1441352;1.152371556;3358.792309;1.170171213;0;;;0.18;5.47;180;0.547
516;384.3189259;1.170646352;3341.819829;1.186913664;0;;;0.21;6.51;210;0.651
517;391.6464681;1.189149007;3324.969037;1.205664034;0;;;0.25;7.55;250;0.755
518;399.1244729;1.207868384;3307.944674;1.224631856;0;;;0.28;8.53;280;0.853
519;406.751269;1.226794628;3290.434519;1.242106807;0;;;0.32;9.48;320;0.948
520;414.5437871;1.2459518;3273.037295;1.261489532;0;;;0.35;10.46;350;1.046
521;422.4950607;1.265320106;3255.151477;1.279508299;0;;;0.4;11.47;400;1.147
522;430.6218066;1.284921963;3237.361658;1.299314533;0;;;0.44;12.39;440;1.239
523;438.918126;1.304738426;3219.078905;1.317877181;0;;;0.47;13.32;470;1.332
524;447.4008969;1.324791007;3200.874703;1.338115384;0;;;0.52;14.36;520;1.436
525;456.0650686;1.345062098;3182.171505;1.357222256;0;;;0.57;15.34;570;1.534
526;464.9280735;1.365571827;3163.52877;1.377900741;0;;;0.62;16.2;620;1.62
527;473.9855024;1.386303626;3144.379033;1.397552471;0;;;0.67;17.14;670;1.714
528;483.255756;1.407277155;3125.270868;1.418679428;0;;;0.73;18.08;730;1.808
529;492.7410149;1.428485558;3105.925219;1.440041862;0;;;0.78;18.78;780;1.878
530;502.4426895;1.449919839;3086.041782;1.460460463;0;;;0.84;19.53;840;1.953
531;512.3821276;1.471601797;3066.184258;1.482282742;0;;;0.9;20.19;900;2.019
532;522.5550775;1.493512817;3045.77498;1.503252984;0;;;0.96;20.81;960;2.081
533;532.9778417;1.515664486;3025.096192;1.524546119;0;;;1.01;21.38;1010;2.138
534;543.667991;1.538068978;3004.395254;1.547066487;0;;;1.07;21.86;1070;2.186
535;554.6219936;1.560706974;2983.129525;1.568910051;0;;;1.13;22.35;1130;2.235
536;565.8671477;1.58360189;2961.817012;1.591910657;0;;;1.19;22.78;1190;2.278
537;577.3998082;1.606732664;2939.916491;1.614306806;0;;;1.25;23.1;1250;2.31
538;589.2511737;1.63012459;2917.942113;1.637795457;0;;;1.31;23.46;1310;2.346
539;601.4173954;1.653754755;2895.351601;1.660746649;0;;;1.37;23.72;1370;2.372
540;613.9345352;1.677650597;2872.657081;1.684731152;0;;;1.42;23.99;1420;2.399
541;626.7984853;1.701786831;2849.312315;1.70824019;0;;;1.48;24.24;1480;2.424
542;640.0387238;1.726178603;2825.568965;1.73206021;0;;;1.54;24.38;1540;2.438
543;653.6888655;1.750842515;2801.654839;1.756798241;0;;;1.6;24.54;1600;2.454
544;667.7457985;1.775750607;2777.038302;1.781178465;0;;;1.66;24.68;1660;2.468
545;682.2469535;1.800919282;2751.954573;1.805866162;0;;;1.72;24.84;1720;2.484
546;697.2356434;1.826366877;2726.620021;1.831376191;0;;;1.76;c;1760;#VALOR!
547;712.7107647;1.852062097;2700.506909;1.856627729;0;;;;;;
548;728.7214068;1.878023182;2673.83523;1.88218463;0;;;;;;
549;745.3051979;1.904251782;2646.567198;1.908045152;0;;;;;;
550;762.5044216;1.930749744;2618.660506;1.934207894;0;;;;;;
551;780.3891253;1.957537656;2590.299065;1.96104072;0;;;;;;
552;798.9704664;1.984579767;2560.960818;1.987774139;0;;;;;;
553;818.3319037;2.01189658;2530.821594;2.01481002;0;;;;;;
554;838.5454425;2.039489919;2499.810442;2.042147762;0;;;;;;
555;859.6950092;2.067361503;2467.844989;2.069787011;0;;;;;;
556;881.8794257;2.09551332;2434.828649;2.097727668;0;;;;;;
557;905.1823585;2.123926542;2400.426469;2.125747099;0;;;;;;
558;929.8104726;2.152643624;2364.938104;2.154307986;0;;;;;;
559;955.9062094;2.181646017;2327.976735;2.183169649;0;;;;;;
;;;;;;;;;;;
561;1012.911508;2.240292809;2248.453937;2.241609607;0;;;;;;
562;1045.311556;2.270311838;2205.230754;2.271209589;0;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
565;1160.646061;2.361483217;2055.91119;2.36209308;0;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
568;1341.892885;2.455486447;1840.117396;2.455699483;0;;;;;;
