Density;f;f0;u;P;u_0;P_0;T;;;;;;
5.812E-08;0;0;0;0;0;0;13820935.95;0.641807536;;;;11.0428;0.59795
1.606545595;-0.911340106;-0.909340268;-0.03019563;0.076676356;-0.030096631;0.07741306;13820935.95;1.317394416;;;;22.6668;1.41448
3.213091191;-1.666555756;-1.660743411;-0.025733931;0.243887685;-0.025558134;0.247794101;13820935.95;1.992981296;;;;34.2908;2.06732
4.819636786;-2.364994558;-2.353371736;-0.024635215;0.322104164;-0.024393014;0.330566016;13820935.95;2.668568176;;;;45.9148;2.66418
6.426182381;-3.027406451;-3.008297116;-0.023419694;0.437949677;-0.023121161;0.451848455;13820935.95;3.344155056;;;;57.5388;3.23913
8.032727976;-3.663590486;-3.63552325;-0.022623922;0.536752767;-0.022275529;0.556836704;13820935.95;4.019741936;;;;69.1628;3.80259
9.639273572;-4.279254025;-4.240939093;-0.021948888;0.639003901;-0.021556591;0.665751915;13820935.95;4.695328816;;;;80.7868;4.26232
11.24581917;-4.8781519;-4.828433361;-0.021398091;0.737768915;-0.020965834;0.771689025;13820935.95;5.370915696;;;;92.4108;4.72745
12.85236476;-5.462952733;-5.40076783;-0.020926753;0.83531565;-0.020457444;0.876911353;13820935.95;6.046502576;;;;104.0348;5.05937
14.45891036;-6.035646055;-5.960005684;-0.020518894;0.931020314;-0.020015064;0.980721272;13820935.95;6.722089456;;;;115.6588;5.40298
16.06545595;-6.597761731;-6.507746806;-0.020159626;1.02526366;-0.019623837;1.083351047;13820935.95;7.397676336;;;;127.2828;5.87178
17.67200155;-7.150504301;-7.045267921;-0.019839281;1.118160699;-0.019274186;1.184747498;13820935.95;8.073263216;;;;138.9068;6.08759
19.27854714;-7.694842234;-7.573611326;-0.019550492;1.209895721;-0.018958761;1.284943549;13820935.95;8.748850096;;;;150.5308;6.43386
20.88509274;-8.231569594;-8.093643842;-0.019287846;1.300591395;-0.018672056;1.383946212;13820935.95;9.424436976;;;;162.1548;6.77218
22.49163833;-8.761349492;-8.606097507;-0.019047223;1.390337064;-0.018409772;1.481769866;13820935.95;10.10002386;;;;173.7788;7.00358
24.09818393;-9.284745145;-9.111598591;-0.018825459;1.479181165;-0.018168505;1.578426434;13820935.95;10.77561074;;;;185.4028;7.36998
25.70472952;-9.802242311;-9.610688838;-0.018620079;1.567140846;-0.017945512;1.673928246;13820935.95;11.45119762;;;;197.0268;7.68496
27.31127512;-10.31426558;-10.10384137;-0.018429107;1.654210475;-0.01773855;1.768287206;13820935.95;12.1267845;;;;208.6508;7.96053
28.91782071;-10.82119023;-10.59147286;-0.018250931;1.740372175;-0.01754576;1.861515031;13820935.95;12.80237138;;;;220.2748;8.36953
30.52436631;-11.32335088;-11.07395294;-0.018084207;1.825605445;-0.017365588;1.953623186;13820935.95;13.47795826;;;;231.8988;8.5855
32.13091191;-11.82104786;-11.5516117;-0.017927789;1.909895065;-0.017196717;2.044622907;13820935.95;14.15354514;;;;243.5228;9.05393
33.7374575;-12.31455192;-12.0247456;-0.017780678;1.993236502;-0.017038024;2.134525199;13820935.95;14.82913202;;;;255.1468;9.51653
35.3440031;-12.80410792;-12.49362234;-0.017641992;2.075638705;-0.016888544;2.22334084;13820935.95;15.5047189;;;;266.7708;9.84956
36.95054869;-13.2899377;-12.95848474;-0.017510947;2.157124591;-0.016747441;2.311080385;13820935.95;16.18030578;;;;278.3948;10.41576
