Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 35
Component 2 = 40
Equation of state = 1
Mixing Rule = 1
Defined Temperature = 308 K
kij = 0
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.0001;0.00109879;308;1.83341;0;0;1;3;0;0;0;0;0.000104257;0.998612;10.9812;0.997616;0.999391;0.998613;0;0;0;0;-2.73138
0.0051;0.0533656;308;1.9251;0;0;1.00007;2;0;0;0;0;0.000109292;0.998586;10.457;0.950175;0.999348;0.998545;0;0;0;0;-2.71073
0.0101;0.100867;308;2.01676;0;0;1.00007;2;0;0;0;0;0.000114316;0.998558;9.9799;0.906994;0.999307;0.998476;0;0;0;0;-2.69203
0.0151;0.144226;308;2.10839;0;0;1.00007;2;0;0;0;0;0.000119322;0.99853;9.54438;0.867581;0.999265;0.998408;0;0;0;0;-2.67338
0.0201;0.183916;308;2.19989;0;0;1.00002;2;0;0;0;0;0.000124332;0.998501;9.14294;0.831466;0.999225;0.998341;0;0;0;0;-2.6559
0.0251;0.220468;308;2.29143;0;0;1.00007;2;0;0;0;0;0.000129296;0.998472;8.7764;0.79829;0.999184;0.998274;0;0;0;0;-2.63622
0.0301;0.254194;308;2.38295;0;0;1.00006;2;0;0;0;0;0.000134248;0.998443;8.43777;0.767639;0.999144;0.998207;0;0;0;0;-2.61768
0.0351;0.285418;308;2.47443;0;0;1.00006;2;0;0;0;0;0.000139182;0.998414;8.12428;0.739265;0.999105;0.998141;0;0;0;0;-2.59918
0.0401;0.314406;308;2.56589;0;0;1.00006;2;0;0;0;0;0.000144098;0.998384;7.83323;0.712924;0.999065;0.998075;0;0;0;0;-2.58072
0.0451;0.341392;308;2.65731;0;0;1.00006;2;0;0;0;0;0.000148995;0.998354;7.56231;0.688405;0.999026;0.998009;0;0;0;0;-2.56229
0.0501;0.366576;308;2.74871;0;0;1.00006;2;0;0;0;0;0.000153875;0.998324;7.30948;0.665524;0.998987;0.997944;0;0;0;0;-2.54391
0.0551;0.390133;308;2.84007;0;0;1.00006;2;0;0;0;0;0.000158737;0.998293;7.07301;0.644124;0.998949;0.997879;0;0;0;0;-2.52556
0.0601;0.412215;308;2.9314;0;0;1.00006;2;0;0;0;0;0.000163581;0.998262;6.85134;0.624065;0.99891;0.997813;0;0;0;0;-2.50724
0.0651;0.432957;308;3.02271;0;0;1.00006;2;0;0;0;0;0.000168406;0.998232;6.64314;0.605224;0.998872;0.997749;0;0;0;0;-2.48897
0.0701;0.452477;308;3.11398;0;0;1.00006;2;0;0;0;0;0.000173214;0.998201;6.44721;0.587495;0.998834;0.997684;0;0;0;0;-2.47073
0.0751;0.47088;308;3.20522;0;0;1.00006;2;0;0;0;0;0.000178004;0.99817;6.26249;0.570782;0.998796;0.997619;0;0;0;0;-2.45252
0.0801;0.48826;308;3.29644;0;0;1.00006;2;0;0;0;0;0.000182776;0.998139;6.08806;0.555;0.998758;0.997555;0;0;0;0;-2.43436
0.0851;0.5047;308;3.38762;0;0;1.00006;2;0;0;0;0;0.000187529;0.998107;5.92308;0.540073;0.99872;0.997491;0;0;0;0;-2.41622
0.0901;0.520273;308;3.47877;0;0;1.00005;2;0;0;0;0;0.000192265;0.998076;5.76679;0.525933;0.998682;0.997426;0;0;0;0;-2.39813
0.0951;0.535047;308;3.56989;0;0;1.00005;2;0;0;0;0;0.000196983;0.998045;5.61853;0.512521;0.998645;0.997362;0;0;0;0;-2.38007
0.1001;0.549082;308;3.66098;0;0;1.00005;2;0;0;0;0;0.000201683;0.998013;5.4777;0.499781;0.998607;0.997298;0;0;0;0;-2.36205
0.1051;0.562432;308;3.75204;0;0;1.00005;2;0;0;0;0;0.000206365;0.997982;5.34375;0.487665;0.99857;0.997235;0;0;0;0;-2.34407
0.1101;0.575146;308;3.84307;0;0;1.00005;2;0;0;0;0;0.000211029;0.99795;5.21618;0.476126;0.998533;0.997171;0;0;0;0;-2.32612
0.1151;0.587268;308;3.93407;0;0;1.00005;2;0;0;0;0;0.000215675;0.997918;5.09456;0.465126;0.998496;0.997107;0;0;0;0;-2.3082
0.1201;0.598839;308;4.02504;0;0;1.00005;2;0;0;0;0;0.000220303;0.997887;4.97848;0.454628;0.998459;0.997044;0;0;0;0;-2.29033
0.1251;0.609895;308;4.11598;0;0;1.00005;2;0;0;0;0;0.000224913;0.997855;4.86757;0.444597;0.998422;0.99698;0;0;0;0;-2.27249
0.1301;0.620471;308;4.20689;0;0;1.00005;2;0;0;0;0;0.000229505;0.997823;4.76148;0.435004;0.998385;0.996917;0;0;0;0;-2.25469
0.1351;0.630597;308;4.29777;0;0;1.00005;2;0;0;0;0;0.000234079;0.997791;4.65992;0.42582;0.998348;0.996854;0;0;0;0;-2.23693
0.1401;0.6403;308;4.38861;0;0;1.00005;2;0;0;0;0;0.000238635;0.997759;4.56259;0.41702;0.998311;0.99679;0;0;0;0;-2.2192
0.1451;0.649608;308;4.47943;0;0;1.00005;2;0;0;0;0;0.000243173;0.997727;4.46924;0.40858;0.998274;0.996727;0;0;0;0;-2.20151
0.1501;0.658544;308;4.57022;0;0;1.00005;2;0;0;0;0;0.000247693;0.997695;4.37963;0.400479;0.998238;0.996664;0;0;0;0;-2.18386
0.1551;0.667129;308;4.66097;0;0;1.00005;2;0;0;0;0;0.000252196;0.997663;4.29354;0.392696;0.998201;0.996601;0;0;0;0;-2.16624
0.1601;0.675384;308;4.7517;0;0;1.00005;2;0;0;0;0;0.00025668;0.997631;4.21077;0.385214;0.998164;0.996538;0;0;0;0;-2.14866
0.1651;0.683328;308;4.84239;0;0;1.00005;2;0;0;0;0;0.000261146;0.997599;4.13112;0.378015;0.998128;0.996475;0;0;0;0;-2.13112
0.1701;0.690977;308;4.93305;0;0;1.00005;2;0;0;0;0;0.000265595;0.997567;4.05443;0.371084;0.998091;0.996413;0;0;0;0;-2.11362
0.1751;0.698349;308;5.02368;0;0;1.00005;2;0;0;0;0;0.000270026;0.997534;3.98053;0.364405;0.998055;0.99635;0;0;0;0;-2.09616
