Density;f;f0;u;P;u_0;P_0;T;rhoc;6088;;;;
0.000001;-6.31903E-08;-6.31903E-08;-0.058925147;4.26514E-09;-0.058925147;4.26514E-09;513.0075;uc;0.029179373;;1;-1.64258E-10;1.105061791
20.36245164;0.174285307;0.174506405;0.012803848;0.086432418;0.012819379;0.086527589;513.0075;;;;0.996655313;-0.003350293;-0.577674196
40.72490328;0.467977053;0.468651278;0.015706147;0.171654257;0.015734831;0.172148211;513.0075;;;;0.993310627;-0.006711847;-0.772757604
61.08735492;0.806104862;0.807481921;0.017387977;0.256080687;0.017428015;0.257149398;513.0075;;;;0.98996594;-0.01008474;-0.906092003
81.44980656;1.172771239;1.175067731;0.018567505;0.339548471;0.01861768;0.341338711;513.0075;;;;0.986621254;-0.013469048;-1.011489109
101.8122582;1.560427331;1.563843686;0.019472789;0.4221413;0.019532502;0.424804435;513.0075;;;;0.983276567;-0.016864848;-1.10065768
122.1747098;1.964629998;1.969354822;0.020204471;0.503845336;0.020273211;0.507518847;513.0075;;;;0.979931881;-0.020272219;-1.179030033
142.5371615;2.382444687;2.388658057;0.02081647;0.58467579;0.020893879;0.589496209;513.0075;;;;0.976587194;-0.02369124;-1.249656423
162.8996131;2.811786868;2.819662133;0.021340911;0.664639225;0.021426685;0.670736585;513.0075;;;;0.973242508;-0.027121991;-1.314419417
183.2620648;3.251099194;3.260803869;0.021798545;0.743747136;0.021892411;0.751244602;513.0075;;;;0.969897821;-0.030564552;-1.37457625
203.6245164;3.699174086;3.710870316;0.022203537;0.822010467;0.02230524;0.831023437;513.0075;;;;0.966553135;-0.034019006;-1.431009979
223.986968;4.155047967;4.168892842;0.022565992;0.899440268;0.02267529;0.910076686;513.0075;;;;0.963208448;-0.037485434;-1.484367162
244.3494197;4.617934242;4.634080061;0.022893368;0.976046909;0.023010032;0.9884078;513.0075;;;;0.959863762;-0.04096392;-1.535136359
264.7118713;5.08717876;5.105773281;0.023191324;1.0518401;0.023315137;1.06602025;513.0075;;;;0.956519075;-0.044454548;-1.583696523
285.0743229;5.562229055;5.583415739;0.02346426;1.126828861;0.023595016;1.14291748;513.0075;;;;0.953174388;-0.047957403;-1.630347981
305.4367746;6.042612431;6.066530681;0.023715658;1.201021603;0.023853164;1.219102921;513.0075;;;;0.949829702;-0.051472572;-1.675333133
325.7992262;6.527919912;6.554705297;0.023948326;1.274426194;0.0240924;1.294579988;513.0075;;;;0.946485015;-0.05500014;-1.718850696
346.1616779;7.017794228;7.047578704;0.024164559;1.347050031;0.024315028;1.369352079;513.0075;;;;0.943140329;-0.058540196;-1.761065785
366.5241295;7.511920644;7.544832751;0.024366256;1.418900094;0.024522957;1.443422579;513.0075;;;;0.939795642;-0.062092829;-1.80211722
386.8865811;8.010019831;8.046184883;0.024555007;1.489982999;0.024717786;1.516794855;513.0075;;;;0.936450956;-0.065658128;-1.842122929
407.2490328;8.511842245;8.551382511;0.024732158;1.560305037;0.024900869;1.58947226;513.0075;;;;0.933106269;-0.069236184;-1.881184009
427.6114844;9.017163638;9.060198505;0.024898854;1.629872206;0.02507336;1.661458132;513.0075;;;;0.929761583;-0.072827088;-1.919387845
447.9739361;9.525781424;9.572427548;0.025056082;1.698690248;0.025236252;1.732755795;513.0075;;;;0.926416896;-0.076430934;-1.956810521
468.3363877;10.03751171;10.08788316;0.025204696;1.766764673;0.025390407;1.803368557;513.0075;;;;0.92307221;-0.080047814;-1.993518729
488.6988393;10.55218685;10.60639525;0.025345441;1.834100787;0.025536576;1.873299714;513.0075;;;;0.919727523;-0.083677823;-2.029571273
509.061291;11.06965338;11.12780802;0.025478969;1.900703712;0.025675416;1.942552543;513.0075;;;;0.916382837;-0.087321058;-2.065020294
529.4237426;11.58977036;11.65197832;0.025605857;1.966578416;0.02580751;2.011130314;513.0075;;;;0.91303815;-0.090977614;-2.099912254
549.7861943;12.11240785;12.1787741;0.025726615;2.031729724;0.025933373;2.079036274;513.0075;;;;0.909693463;-0.09464759;-2.134288749
570.1486459;12.63744574;12.70807325;0.025841696;2.096162347;0.026053463;2.146273666;513.0075;;;;0.906348777;-0.098331083;-2.168187178
590.5110975;13.16477267;13.2397625;0.025951508;2.159880891;0.026168193;2.212845713;513.0075;;;;0.90300409;-0.102028196;-2.201641303
610.8735492;13.69428511;13.77373649;0.026056415;2.22288988;0.02627793;2.278755629;513.0075;;;;0.899659404;-0.105739027;-2.23468171
631.2360008;14.22588661;14.30989702;0.026156747;2.285193765;0.026383007;2.344006611;513.0075;;;;0.896314717;-0.109463681;-2.267336211
651.5984525;14.75948707;14.84815231;0.0262528;2.346796933;0.026483725;2.408601836;513.0075;;;;0.892970031;-0.113202259;-2.299630168
671.9609041;15.29500216;15.38841643;0.026344845;2.407703746;0.026580357;2.472544492;513.0075;;;;0.889625344;-0.116954866;-2.331586797
692.3233557;15.83235281;15.93060875;0.026433127;2.467918501;0.026673153;2.535837719;513.0075;;;;0.886280658;-0.120721609;-2.363227386
712.6858074;16.3714647;16.47465348;0.026517871;2.527445498;0.026762338;2.598484678;513.0075;;;;0.882935971;-0.124502594;-2.394571536
733.048259;16.91226791;17.02047927;0.026599281;2.586289028;0.02684812;2.660488524;513.0075;;;;0.879591285;-0.128297929;-2.42563733
753.4107106;17.45469652;17.56801878;0.026677547;2.644453293;0.026930691;2.721852319;513.0075;;;;0.876246598;-0.132107723;-2.456441453
773.7731623;17.99868828;18.11720845;0.026752842;2.701942622;0.027010226;2.782579249;513.0075;;;;0.872901912;-0.135932087;-2.486999433
794.1356139;18.54418433;18.6679881;0.026825324;2.758761203;0.027086885;2.842672336;513.0075;;;;0.869557225;-0.139771134;-2.517325623
814.4980656;19.09112894;19.22030075;0.026895143;2.814913325;0.02716082;2.902134697;513.0075;;;;0.866212539;-0.143624975;-2.547433432
834.8605172;19.63946929;19.77409232;0.026962435;2.870403301;0.027232168;2.960969446;513.0075;;;;0.862867852;-0.147493726;-2.577335376
855.2229688;20.18915522;20.32931146;0.027027327;2.925235425;0.027301057;3.019179655;513.0075;;;;0.859523165;-0.151377502;-2.607043138
875.5854205;20.74013907;20.88590935;0.027089936;2.979413848;0.027367607;3.07676821;513.0075;;;;0.856178479;-0.155276421;-2.636567567
895.9478721;21.2923755;21.44383948;0.027150373;3.032943083;0.027431928;3.133738363;513.0075;;;;0.852833792;-0.159190601;-2.665919026
916.3103238;21.84582132;22.00305756;0.027208739;3.085827408;0.027494125;3.190093073;513.0075;;;;0.849489106;-0.163120162;-2.695107119
936.6727754;22.40043537;22.5635213;0.027265131;3.138071003;0.027554293;3.245835166;513.0075;;;;0.846144419;-0.167065226;-2.724140816
957.035227;22.95617837;23.12519034;0.027319639;3.189678577;0.027612524;3.300968002;513.0075;;;;0.842799733;-0.171025914;-2.753028847
977.3976787;23.51301281;23.6880261;0.027372346;3.240654345;0.027668902;3.355494374;513.0075;;;;0.839455046;-0.175002352;-2.781779184
997.7601303;24.07090282;24.25199166;0.02742333;3.291002705;0.027723506;3.409417234;513.0075;;;;0.83611036;-0.178994665;-2.810399444
1018.122582;24.62981409;24.81705167;0.027472667;3.340728232;0.027776411;3.462739699;513.0075;;;;0.832765673;-0.183002981;-2.838896927
1038.485034;25.1897138;25.38317226;0.027520425;3.389835361;0.027827687;3.515464692;513.0075;;;;0.829420987;-0.187027428;-2.86727847
