T;rho1;rho2;P;u;delta_P;delta_u
505;2803.44;8949.73;5.43477;0.0283538;1.78206e-009;6.82749e-013
505.5;2864.94;8874.39;5.48457;0.0284053;1.61495e-009;5.96256e-013
506;2930.03;8795.99;5.5349;0.0284569;1.45564e-009;5.17628e-013
506.5;2999.2;8714.13;5.58576;0.0285084;1.29968e-009;4.44884e-013
507;3073.06;8628.35;5.63719;0.0285599;1.15258e-009;3.79568e-013
507.5;3152.39;8538.07;5.68921;0.0286114;1.0095e-009;3.19592e-013
508;3238.19;8442.53;5.74184;0.0286628;8.74906e-010;2.6602e-013
508.5;3331.78;8340.8;5.79512;0.0287143;7.44107e-010;2.17038e-013
509;3434.93;8231.6;5.8491;0.0287657;6.2197e-010;1.73826e-013
509.5;3550.19;8113.21;5.90383;0.028817;1.01406e-009;2.71044e-013
510;3681.27;7983.16;5.95937;0.0288684;7.99425e-010;2.03854e-013
510.5;3834.02;7837.74;6.01581;0.0289198;6.00457e-010;1.45661e-013
511;4018.37;7670.95;6.07328;0.0289712;4.19987e-010;9.64472e-014
511;4018.37;7670.95;6.07328;0.0289712;4.19987e-010;9.64472e-014
