T;rho1;rho2;P;u;delta_P;delta_u
300;0.284938;9711.83;2.91E-08;-0.0206222;0.100349;0.00638942
302;0.263511;9670.96;1.88E-08;-0.0207592;0.0962047;0.0065517
304;0.240974;9629.67;9.60E-09;-0.0208962;0.0868336;0.00671266
306;0.223754;9588.05;3.55E-09;-0.0210332;0.074624;0.00687257
308;0.199533;9546.18;-3.62E-09;-0.0211702;0.0622261;0.0070317
310;0.181111;9504.2;-8.09E-09;-0.0213072;0.0527676;0.00719039
312;0.160502;9462;-1.22E-08;-0.0214442;0.0440415;0.00734842
314;0.140639;9419.67;-1.53E-08;-0.0215812;0.0381253;0.00750603
316;0.12167;9377.15;-1.76E-08;-0.0217183;0.0341296;0.00766312
318;0.106759;9334.68;-1.91E-08;-0.0218553;0.037023;0.00782024
320;0.0893964;9293.2;-2.03E-08;-0.0219923;0.0647147;0.00797933
322;0.0739082;9250.28;-2.12E-08;-0.0221293;0.0703992;0.00813539
324;0.055421;9206.45;-2.19E-08;-0.0222663;0.0652155;0.00828959
326;0.036892;9159.64;-2.23E-08;-0.0224033;0.0135693;0.00843804
328;0.0173914;9116.3;-2.25E-08;-0.0225403;0.0320124;0.00859345
330;0.00502602;9176.35;-2.27E-08;-0.0226773;1.90242;0.00895117
332;-0.00769121;9128.71;-2.28E-08;-0.0228143;1.8124;0.00909438
334;-0.0294737;9083.76;-2.30E-08;-0.0229513;1.78071;0.00924327
336;-0.0411779;9037.65;-2.31E-08;-0.0230883;1.73672;0.00939014
338;-0.0533647;8988.48;-2.32E-08;-0.0232253;1.65023;0.0095316
340;-0.0684993;8943.78;-2.34E-08;-0.0233623;1.64813;0.00968178
342;-0.0834041;8897.36;-2.35E-08;-0.0234993;1.6261;0.00982909
344;-0.0980606;8855.53;-2.36E-08;-0.0236364;1.68389;0.00998477
346;-0.112584;8802.27;-2.38E-08;-0.0237734;1.57375;0.0101208
348;-0.126633;8768.9;-2.39E-08;-0.0239104;1.77001;0.0102911
350;-0.14064;8716.37;-2.40E-08;-0.0240474;1.68943;0.0104293
352;-0.15444;8662.22;-2.42E-08;-0.0241844;1.6;0.0105657
354;-0.167891;8623.51;-2.43E-08;-0.0243214;1.7322;0.0107272
356;-0.181239;8569.09;-2.45E-08;-0.0244585;1.66077;0.0108644
358;-0.194397;8514.52;-2.46E-08;-0.0245955;1.6018;0.0110024
360;-0.207212;8471.49;-2.47E-08;-0.0247325;1.69692;0.0111579
362;-0.219938;8413.92;-2.49E-08;-0.0248695;1.62514;0.0112931
364;-0.232396;8366.53;-2.50E-08;-0.0250066;1.68441;0.0114432
366;-0.24469;8310.6;-2.51E-08;-0.0251436;1.65754;0.0115825
368;-0.256796;8255.44;-2.53E-08;-0.0252806;1.65232;0.0117237
370;-0.268664;8202.17;-2.54E-08;-0.0254176;1.67885;0.0118682
372;-0.2804;8142.06;-2.56E-08;-0.0255547;1.65016;0.0120053
374;-0.29273;7985.34;-2.57E-08;-0.0256917;0.805117;0.0120402
376;-0.309887;7861.97;-2.58E-08;-0.0258287;0.381276;0.012125
378;-0.322532;8194.69;-2.60E-08;-0.0259658;3.86311;0.0126972
380;-0.331609;8162.68;-2.61E-08;-0.0261028;4.08311;0.0128642
382;-0.336113;7821.82;-2.62E-08;-0.0262398;1.58857;0.012691
384;-0.354295;7778.42;-2.64E-08;-0.0263769;1.76947;0.012851
386;901.998;7720.37;1.85367;-0.0135158;2.96E-09;1.03E-11
388;944.732;7658.44;1.92317;-0.0135082;4.85E-09;1.00E-11
390;989.859;7594.85;1.99475;-0.0135008;4.69E-09;8.37E-12
392;1037.64;7529.41;2.06848;-0.0134937;1.09E-08;9.23E-12
394;1088.35;7461.95;2.14442;-0.0134868;7.47E-09;7.93E-12
396;1142.29;7392.21;2.22266;-0.0134802;7.36E-09;7.15E-12
398;1199.83;7319.9;2.30326;-0.0134739;5.29E-09;5.86E-12
400;1261.44;7244.69;2.38632;-0.0134677;4.80E-09;5.44E-12
402;1327.71;7166.17;2.47192;-0.0134618;5.44E-09;5.18E-12
404;1399.25;7083.79;2.56017;-0.013456;4.45E-09;4.06E-12
406;1476.96;6996.91;2.65118;-0.0134505;5.18E-09;3.88E-12
408;1561.93;6904.64;2.74508;-0.0134451;4.45E-09;3.19E-12
410;1655.56;6805.84;2.84202;-0.0134399;4.76E-09;2.90E-12
412;1759.8;6698.9;2.94216;-0.0134349;4.48E-09;2.55E-12
414;1877.37;6581.5;3.0457;-0.0134299;3.70E-09;1.97E-12
416;2012.33;6449.96;3.15285;-0.0134251;3.67E-09;1.64E-12
418;2171.09;6298.27;3.2639;-0.0134204;2.90E-09;1.23E-12
420;2364.79;6115.11;3.37916;-0.0134158;2.40E-09;9.04E-13
422;2617.1;5875.65;3.49907;-0.0134113;1.77E-09;5.58E-13
424;3003.06;5501.91;3.62422;-0.0134068;7.52E-10;2.12E-13
;;;;;;
;;;;;;
;;;;;;
;;;;;;
