T;rho1;rho2;P
540;360.141;3526.99;1.18322
542;396.411;3489.24;1.27136
544;434.829;3449.47;1.35871
546;474.933;3408.12;1.44537
548;517.402;3364.77;1.53137
550;563.169;3320.31;1.61718
552;611.02;3273.92;1.70149
554;662.465;3225.42;1.78539
556;718.049;3174.85;1.86882
558;778.181;3121.8;1.95192
560;843.968;3065.52;2.03424
562;916.86;3006.36;2.11681
564;997.073;2942.66;2.19853
566;1087.26;2874.07;2.28034
568;1187.94;2798.54;2.36191
570;1302.58;2714.52;2.44377
572;1432.19;2617.15;2.52563
574;1588.16;2498.92;2.60829
576;1795.99;2320.87;2.69066
578;9.83919e-007;-9.05545e-006;-3.05325e-005
580;9.83975e-007;-9.51363e-006;-3.05325e-005
580;9.83975e-007;-9.51363e-006;-3.05325e-005
