T;rho1;rho2;P;u;delta_P;delta_u;;;rho1;rho2;P
273.15;13.0852;9016.24;0.0262342;0.00546016;3.76E-08;7.10E-09;;0.005;13.0852;9016.24;0.0262342
273.15;13.3177;9038.64;0.0271629;0;0.0271629;0;;0.01;13.3177;9038.64;0.0271629
273.15;13.5555;9061.11;0.0281094;0;0.0281094;0;;0.015;13.5555;9061.11;0.0281094
273.15;13.7986;9083.67;0.029074;0;0.029074;0;;0.02;13.7986;9083.67;0.029074
273.15;14.0476;9106.3;0.0300573;0;0.0300573;0;;0.025;14.0476;9106.3;0.0300573
273.15;14.3026;9129.02;0.0310597;0;0.0310597;0;;0.03;14.3026;9129.02;0.0310597
273.15;14.5641;9151.81;0.0320816;0;0.0320816;0;;0.035;14.5641;9151.81;0.0320816
273.15;14.8325;9174.67;0.0331235;0;0.0331235;0;;0.04;14.8325;9174.67;0.0331235
273.15;15.1082;9197.62;0.0341859;0;0.0341859;0;;0.045;15.1082;9197.62;0.0341859
273.15;15.3918;9220.64;0.0352693;0;0.0352693;0;;0.05;15.3918;9220.64;0.0352693
273.15;15.6838;9243.74;0.0363745;0;0.0363745;0;;0.055;15.6838;9243.74;0.0363745
273.15;15.985;9266.91;0.0375019;0;0.0375019;0;;0.06;15.985;9266.91;0.0375019
273.15;14.9906;9290.09;0.0332734;0;0.0332734;0;;0.065;14.9906;9290.09;0.0332734
273.15;18.6368;9313.58;0.0469644;0;0.0469644;0;;0.07;18.6368;9313.58;0.0469644
273.15;22.2162;9337.08;0.0551275;0;0.0551275;0;;0.075;22.2162;9337.08;0.0551275
273.15;-68.1717;9358.79;3.62E-08;0;3.62E-08;0;;0.08;-68.1717;9358.79;3.62E-08
273.15;17.2391;9383.88;0.0419469;0;0.0419469;0;;0.085;17.2391;9383.88;0.0419469
273.15;11.702;9407.58;0.0179311;0;0.0179311;0;;0.09;11.702;9407.58;0.0179311
273.15;24.1016;9431.44;0.0573198;0;0.0573198;0;;0.095;24.1016;9431.44;0.0573198
273.15;29.9299;9455.35;0.0643645;0;0.0643645;0;;0.1;29.9299;9455.35;0.0643645
273.15;28.0982;9479.04;0.0617409;0;0.0617409;0;;0.105;28.0982;9479.04;0.0617409
273.15;21.2979;9502.58;0.0540169;0;0.0540169;0;;0.11;21.2979;9502.58;0.0540169
273.15;14.9002;9526.31;0.0317391;0;0.0317391;0;;0.115;14.9002;9526.31;0.0317391
273.15;27.5044;9550.83;0.0613111;0;0.0613111;0;;0.12;27.5044;9550.83;0.0613111
273.15;19.3953;9574.73;0.0489116;0;0.0489116;0;;0.125;19.3953;9574.73;0.0489116
273.15;27.4309;9599.13;0.0614564;0;0.0614564;0;;0.13;27.4309;9599.13;0.0614564
273.15;31.9907;9623.62;0.0683404;0;0.0683404;0;;0.135;31.9907;9623.62;0.0683404
273.15;24.8555;9647.53;0.0592594;0;0.0592594;0;;0.14;24.8555;9647.53;0.0592594
273.15;22.5738;9671.85;0.0568678;0;0.0568678;0;;0.145;22.5738;9671.85;0.0568678
273.15;15.9275;9695.73;0.0353337;0;0.0353337;0;;0.15;15.9275;9695.73;0.0353337
