1;null;Tc (K);Pc (MPa);omega;r(UNIQUAC);q(UNIQUAC);q'(UNIQUAC);A (bar);B(bar.K);C(K);Tmin (K);Tmax (K);a0 (bar.L².mol²);bCPA (L/mol);c1;?AB (bar.L/mol);?AB;Tc virtual;Pc virtual;omega virt.;L (m);phi
2;metano;190.6;4.604;0.011;;;;0.39895;44.2028;-0.49;90.99;189.99;0;0;;0;;199;4.9;-0.069;5.10E-10;0.5
3;etano;305.4;4.88;0.099;;;;0.393835;65.9739;-16.719;135.74;199.91;5.51E-07;0.0000429;0.5846;0;0;314.1;5.24;0.016;5.62E-10;0.5
4;propano;369.8;4.249;0.152;;;;0.680398;80.381;-26.31;165;248;9.12E-07;0.000057834;0.6307;0;0;388.5;4.79;0.064;6.10E-10;0.5
5;n-butano;425.2;3.797;0.193;;;;0.435576;117.5581;-2.071;272.66;425;1.31E-06;0.000072081;0.70771;0;0;446.4;4.27;0.1;6.55E-10;
6;isobutano;408.1;3.648;0.177;;;;0;0;;;;1.29E-06;0.0000747;0.7021;0;0;;;;;
7;n-pentano;469.7;3.369;0.249;;;;0.39892;107.0617;-40.454;268.8;341.37;1.82E-06;0.000091008;0.79858;0;0;493.4;3.89;0.147;6.90E-10;
8;isopentano;460.4;3.381;0.228;;;;0;0;;;;0;0;;0;;;;;;
9;neopentano;433.8;3.199;0.196;;;;0;0;;;;0;0;;0;;;;;;
10;n-hexano;507.4;3.012;0.305;4.5;3.856;;0.400266;104.4038;-53.893;177.7;264.93;2.37E-06;0.00010789;0.8313;0;0;533;3.58;0.197;7.20E-10;
11;n-heptano;540.3;2.736;0.349;5.174;4.396;;0.402832;126.8636;-56.199;299.07;372.43;2.92E-06;0.00012535;0.9137;0;0;567.2;3.31;0.245;7.50E-10;
12;n-octano;569.32;2.4978;0.396;5.849;4.936;;0.404867;135.5126;-63.633;326.08;399.72;3.49E-06;0.00014244;0.99415;0;0;597.2;3.03;0.289;7.80E-10;
13;n-nonano;595.7;2.306;0.437;6.523;5.476;;0.406245;143.0377;-71.355;343.49;424.94;4.13E-06;0.00016035;1.04628;0;0;624.5;2.86;0.325;8.00E-10;
14;n-decano;618.5;2.123;0.484;;;;0;0;;;;4.74E-06;0.00017865;1.13243;0;0;650;2.66;0.371;8.25E-10;
15;n-dodecano;658.2;1.824;0.575;8.5462;7.096;;0.410549;162.5928;-92.839;399.53;490.49;0;0;;0;;691.5;2.34;0.446;8.72E-10;
16;n-tetradecano;696.9;1.438;0.57;;;;0;0;;;;0;0;;0;;726.1;2.05;0.527;9.15E-10;
17;n-hexadecano;707;1.52;0.706;;;;0.417312;184.5672;-117.054;463.2;559.9;0;0;;0;;756.3;1.93;0.629;9.55E-10;
18;acetona (2B);508.2;4.8;0.306;;;;0.442448;131.2253;-32.445;259.16;507.6;7.86E-07;0.0000592;0.9951;0.011173;0.289;;;;;
19;acetonitrila;545.5;4.833;0.353;;313.55;;0.70735;127.92;-49.29;260;390;0;0;;0;;;;;;
20;amônia;406.6;11.27;0.252;;;;0;0;;;;0;0;;0;;;;;;
21;água;647.3;22.12;0.344;0.92;1.4;1.4;0.46543;143.5264;-64.848;255.9;373;1.23E-07;0.000014515;0.67359;0.016655;0.0692;;;;;
22;ciclopentano;511.8;4.502;0.194;;;;0.46543;0;;;;0;0;;0;;;;;;
23;metilciclopentano;532.8;3.785;0.23;;;;0;0;;;;0;0;;0;;;;;;
24;ciclohexano;553.5;4.075;0.215;4.0464;3.24;;0.396988;120.3526;-50.287;293.06;354.73;2.13E-06;0.00009038;0.74265;0;0;;;;;
25;metilciclohexano;572.2;3.471;0.235;;;;0;0;;;;0;0;;0;;;;;;
26;etileno;282.4;5.032;0.085;;;;0.674756;58.5;-18.3;120;182;0;0;;0;;;;;;
27;propileno;364.8;4.613;0.142;;;;0;0;;;;0;0;;0;;;;;;
28;1-buteno;419.6;4.02;0.187;;;;0.68429;92.61;-33.3;192;286;0;0;;0;;;;;;
29;isobuteno;417.9;3.999;0.189;;;non;0.684134;92.32;-33.3;191;285;0;0;;0;;;;;;
30;1-penteno;464.8;3.529;0.233;;;;0;0;;;;0;0;;0;;;;;;
31;acetileno;308.3;6.139;0.187;;;;0.91402;123.26;7.6;144;190;0;0;;0;;;;;;
32;1,3-butadieno;425.4;4.33;0.193;;;;0.684999;93.0546;-34.446;215;287;0;0;;0;;;;;;
33;isopreno;484;3.85;0.158;;;;0;0;;;;0;0;;0;;;;;;
34;ETBE;;0;;5.1726;4.388;4.388;0;0;;;;0;0;;0;;;;;;
35;benzeno;562.2;4.898;0.211;3.19;2.4;2.4;0.401814;120.3835;-53.226;287.7;354.07;1.79E-06;0.0000749;0.75766;0;0;;;;;
36;tolueno;591.8;4.109;0.264;3.9228;2.968;2.968;0.414157;137.7578;-50.507;273;323;2.34E-06;0.0000921;0.80372;0;0;;;;;
37;etilbenzeno;617.2;3.609;0.304;4.597;3.508;;0;0;;;;0.000002886;0.00010872;0.8539;0;0;;;;;
38;o-xileno;630.4;3.734;0.313;;;;0.412928;147.8244;-59.076;336.61;418.52;0;0;;0;;;;;;
39;m-xileno;617.1;3.541;0.326;4.6578;3.536;;0.509199;199.6545;-14.772;273;333;2.91E-06;0.00010872;0.8681;0;0;;;;;
40;p-xileno;616.3;3.511;0.326;;;;0.414553;147.4403;-55.377;286.43;452.38;2.93E-06;0.0001098;0.86256;0;0;;;;;
41;cumeno;631.2;3.209;0.338;;;;0;0;;;;0;0;;0;;;;;;
42;bifenila;789.3;3.847;0.366;;;;0;0;;;;0;0;;0;;;;;;
43;difenilmetano;768;2.92;0.461;;;;#VALOR!;35.32448992;;Tb;417.4894067;0;#VALOR!;5.167643254;0.000516606;;;;;;
44;naftaleno;748.4;4.051;0.302;;;;#VALOR!;41.75537155;;;0.9996929;0;#VALOR!;1.01127565;0.000101097;;;;;;
45;1-metilnaftaleno;772;3.65;0.292;;;;0;0;;;;0;0;;0;;;;;;
46;tetralina;720.2;3.3;0.286;;;;0;0;;;;0;0;;0;;;;;;
47;metanol;512.6;8.096;0.566;1.43;1.43;1.43;0.520409;158.1341;-33.5;288.1;356.83;4.05E-07;0.000030978;0.43102;0.024591;0.0161;0;;;;
48;etanol;514;6.384;0.635;2.5755;2.588;2.588;0.524677;159.8673;-46.424;292.77;366.63;8.67E-07;0.00004911;0.7369;0.021532;0.008;;;;;
49;1-Propanol (2B);536.7;5.17;0.628;;;;0.76192;137.514;-80.29;285;400;1.19E-06;0.00006411;0.91709;0.021;0.0081;;;;;
50;isopropanol;508.3;4.764;0.669;2.7791;2.508;;0.81182;158.092;-53.68;273;374;1.06E-06;0.00006411;0.9468;0.021;0.0091;;;;;
51;1-butanol;562.9;4.412;0.594;3.9243;3.668;;0.454607;135.1555;-93.34;295.8;391;1.57E-06;0.0000797;0.9784;0.021;0.0082;;;;;
52;isobutanol;547.7;4.295;0.589;;;;0.43281;113.2108;0.918;261.31;408.12;1.83E-06;0.00008105;0.90354;0.022862;0.001;;;;;
53;tetrahidrofurano;501.1;5.19;0.217;2.941;2.72;;0;0;;;;0;0;;0;;;;;;
54;éter dietílico;466.7;3.59;0.281;;;;0.692032;106.407;-44.5;212;293;0;0;;0;;;;;;
55;óxido de etileno;469;7.1;0.2;;;;0.72701;111.51;-29.15;200;310;0;0;;0;;;;;;
56;butanona;535.6;4.1;0.329;;;;0;0;;;;0;0;;0;;;;;;
57;fréon-12(CCl2F2);385;4.07;0.176;;;;0;0;;;;0;0;;0;;;;;;
58;fréon-22(CClF2);369.8;4.97;0.221;;;;0;0;;;;0;0;;0;;;;;;
59;fréon-11(CCl3F);471.2;4.35;0.188;;;;0;0;;;;0;0;;0;;;;;;
60;fréon-113(C2Cl3F3);487.2;3.37;0.252;;;;0;0;;;;0;0;;0;;;;;;
61;cloreto de metila;416.3;6.59;0.156;;;;0;0;;;;0;0;;0;;;;;;
62;clorofórmio;536.4;5.4;0.216;;;;0.69371;117.12;-46.3;260;370;1.51E-06;0.0000665;0.74544;0;0;;;;;
63;tetracloreto de carbono;556.4;4.5;0.194;;;;0.68941;121.958;-46.13;253;374;0;0;;0;;;;;;
64;clorobenzeno;632.4;4.46;0.249;;;;0;0;;;;0;0;;0;;;;;;
65;óxido de nitrogênio;309.6;7.245;0.142;;;;0;0;;;;0;0;;0;;;;;;
66;oxigênio;154.6;5.043;0.022;;;;0;0;;;;0;0;;0;;;;;;
67;hidrogênio;33.3;1.297;-0.215;;;;0;0;;;;0;0;;0;;;;;;
68;nitrogênio;126.1;3.394;0.04;;;;0;0;;;;0;0;;0;;;;;;
69;monóxido de carbono;132.9;3.499;0.066;;;;0.62402;23.027;-13.29;63;108;0;0;;0;;;;;;
70;dióxido de carbono;304.2;7.382;0.228;;;;0.681228;130.1679;-3.494;154;195;3.51E-07;0.0000272;0.7602;0;0;;;;;
71;dióxido de enxofre;430.8;7.884;0.245;;;;0;0;;;;0;0;;0;;;;;;
72;trióxido de enxofre;490.9;8.207;0.422;;;;0;0;;;;0;0;;0;;;;;;
73;óxido nítrico;180.2;6.485;0.585;;;;0;0;;;;0;0;;0;;;;;;
74;He-4;5.2;0.228;0;;;;0;0;;;;0;0;;0;;;;;;
75;argônio;150.9;4.898;-0.004;;;;0;0;;;;0;0;;0;;;;;;
76;cloro (Cl2);417.2;7.711;0.069;;;;0;0;;;;0;0;;0;;;;;;
77;neônio ;44.4;2.653;-0.041;;;;0;0;;;;0;0;;0;;;;;;
78;kriptônio;209.4;5.502;0.001;;;;0;0;;;;0;0;;0;;;;;;
79;bromo (Br2);584.2;10.335;0.119;;;;0;0;;;;0;0;;0;;;;;;
80;xenônio;289.7;5.84;0.012;;;;0;0;;;;0;0;;0;;;;;;
81;hidrazina;653;14.5;0.328;;;;0;0;;;;0;0;;0;;;;;;
82;cianeto de hidrogênio;456.8;5.32;0.407;;;;0;0;;;;0;0;;0;;;;;;
83;cloreto de hidrogênio;324.6;8.2;0.12;;;;0;0;;;;0;0;;0;;;;;;
84;sulfeto de hidrogênio;373.5;8.937;0.081;;;;0;0;;;;0;0;;0;;;;;;
85;disulfeto de carbono;552;7.8;0.115;;;;0;0;;;;0;0;;0;;;;;;
86;trifluorometano;299;4.816;0.26414;;;;0.970195;162.408234;-23.37;145;191;0;0;;0;;;;;;
87;ácido fórmico;588;0;;;;;0;0;;;;5.63E-07;0.00003;0.3338;0.041917;0.0155;;;;;
